COMPOSER	COLLECTION	MOVEMENT	SCORE	URL
Reichardt, Louise	Zwölf Gesänge, Op.3	01 Frühlingsblumen	YES	https://musescore.com/score/5001965
Reichardt, Louise	Zwölf Gesänge, Op.3	02 Der traurige Wanderer	YES	https://musescore.com/score/5061310
Reichardt, Louise	Zwölf Gesänge, Op.3	03 Die Blume der Blumen	YES	https://musescore.com/score/5001980
Reichardt, Louise	Zwölf Gesänge, Op.3	04 Wachtelwacht	YES	https://musescore.com/score/5001994
Reichardt, Louise	Zwölf Gesänge, Op.3	05 Betteley der Vögel	YES	https://musescore.com/score/5001997
Reichardt, Louise	Zwölf Gesänge, Op.3	06 Kriegslied des Mays	YES	https://musescore.com/score/5002006
Reichardt, Louise	Zwölf Gesänge, Op.3	07 Die Wiese	YES	https://musescore.com/score/5046362
Reichardt, Louise	Zwölf Gesänge, Op.3	08 Kaeuzlein	YES	https://musescore.com/score/5002015
Reichardt, Louise	Zwölf Gesänge, Op.3	09 Hier liegt ein Spielmann begraben	YES	https://musescore.com/score/5002019
Schubert, Franz	4 Lieder, Op.96	1 Die Sterne, D.939	YES	https://musescore.com/score/6485233
Schubert, Franz	Die schöne Müllerin, D.795	12 Pause	YES	https://musescore.com/score/4985946
Schubert, Franz	Op.59	3 Du bist die Ruh	YES	https://musescore.com/score/4919879
Schubert, Franz	Schwanengesang, D.957	01 Liebesbotschaft	YES	https://musescore.com/score/5077744
Schubert, Franz	Schwanengesang, D.957	02 Kriegers Ahnung	YES	https://musescore.com/score/4986000
Schubert, Franz	Schwanengesang, D.957	03 Frühlingssehnsucht	YES	https://musescore.com/score/4985999
Schubert, Franz	Schwanengesang, D.957	04 Ständchen	YES	https://musescore.com/score/5004835
Schubert, Franz	Schwanengesang, D.957	05 Aufenthalt	YES	https://musescore.com/score/4985990
Schubert, Franz	Schwanengesang, D.957	06 In der Ferne	YES	https://musescore.com/score/4985987
Schubert, Franz	Schwanengesang, D.957	07 Abschied	YES	https://musescore.com/score/4978506
Schubert, Franz	Schwanengesang, D.957	08 Der Atlas	YES	https://musescore.com/score/4985985
Schubert, Franz	Schwanengesang, D.957	09 Ihr Bild	YES	https://musescore.com/score/4985984
Schubert, Franz	Schwanengesang, D.957	10 Das Fischermädchen	YES	https://musescore.com/score/5098612
Schubert, Franz	Schwanengesang, D.957	11 Die Stadt	YES	https://musescore.com/score/4985973
Schubert, Franz	Schwanengesang, D.957	12 Am Meer	YES	https://musescore.com/score/4985965
Schubert, Franz	Schwanengesang, D.957	13 Der Doppelgänger	YES	https://musescore.com/score/4985964
Schubert, Franz	Schwanengesang, D.957	14 Die Taubenpost	YES	https://musescore.com/score/4985962
Schubert, Franz	Winterreise, D.911	01 Gute Nacht	YES	https://musescore.com/score/5015378
Schubert, Franz	Winterreise, D.911	02 Die Wetterfahne	YES	https://musescore.com/score/5015435
Schubert, Franz	Winterreise, D.911	03 Gefror’ne Thränen	YES	https://musescore.com/score/5015499
Schubert, Franz	Winterreise, D.911	04 Erstarrung	YES	https://musescore.com/score/5015573
Schubert, Franz	Winterreise, D.911	05 Der Lindenbaum	YES	https://musescore.com/score/5016466
Schubert, Franz	Winterreise, D.911	06 Wasserfluth	YES	https://musescore.com/score/5016512
Schubert, Franz	Winterreise, D.911	07 Auf dem Flusse	YES	https://musescore.com/score/5015410
Schubert, Franz	Winterreise, D.911	08 Rückblick	YES	https://musescore.com/score/5015521
Schubert, Franz	Winterreise, D.911	09 Irrlicht	YES	https://musescore.com/score/5023438
Schubert, Franz	Winterreise, D.911	10 Rast (Spätere Fassung)	YES	https://musescore.com/score/5023517
Schubert, Franz	Winterreise, D.911	11 Frühlingstraum	YES	https://musescore.com/score/5023603
Schubert, Franz	Winterreise, D.911	12 Einsamkeit (Urspruengliche Fassung)	YES	https://musescore.com/score/5023662
Schubert, Franz	Winterreise, D.911	13 Die Post	YES	https://musescore.com/score/5007176
Schubert, Franz	Winterreise, D.911	14 Der greise Kopf	YES	https://musescore.com/score/5007178
Schubert, Franz	Winterreise, D.911	15 Die Kraehe	YES	https://musescore.com/score/5007179
Schubert, Franz	Winterreise, D.911	16 Letzte Hoffnung	YES	https://musescore.com/score/5007180
Schubert, Franz	Winterreise, D.911	17 Im Dorfe	YES	https://musescore.com/score/5007181
Schubert, Franz	Winterreise, D.911	18 Der stuermische Morgen	YES	https://musescore.com/score/5007182
Schubert, Franz	Winterreise, D.911	19 Täuschung	YES	https://musescore.com/score/5009833
Schubert, Franz	Winterreise, D.911	20 Der Wegweiser	YES	https://musescore.com/score/5009900
Schubert, Franz	Winterreise, D.911	21 Das Wirthshaus	YES	https://musescore.com/score/5013945
Schubert, Franz	Winterreise, D.911	22 Muth	YES	https://musescore.com/score/5013969
Schubert, Franz	Winterreise, D.911	23 Die Nebensonnen	YES	https://musescore.com/score/5014002
Schubert, Franz	Winterreise, D.911	24 Der Leiermann (Spätere Fassung)	YES	https://musescore.com/score/5014023
Schumann, Clara	6 Lieder, Op.13	1 Ich stand in dunklen Träumen	YES	https://musescore.com/score/5133602
Schumann, Clara	6 Lieder, Op.13	2 Sie liebten sich beide	YES	https://musescore.com/score/5125680
Schumann, Clara	6 Lieder, Op.13	3 Liebeszauber	YES	https://musescore.com/score/5126774
Schumann, Clara	6 Lieder, Op.13	6 Die stille Lotosblume	YES	https://musescore.com/score/5130634
Schumann, Clara	6 Lieder, Op.23	4 Auf einem grünen Hügel	YES	https://musescore.com/score/5142672
Schumann, Clara	Lieder, Op.12	04 Liebst du um Schönheit	YES	https://musescore.com/score/5000397
Schumann, Clara	 	Die gute Nacht	YES	https://musescore.com/score/5000388
Schumann, Robert	Dichterliebe, Op.48	01 Im wunderschönen Monat Mai	YES	https://musescore.com/score/4976777
Schumann, Robert	Dichterliebe, Op.48	02 Aus meinen Tränen sprießen	YES	https://musescore.com/score/4976769
Schumann, Robert	Dichterliebe, Op.48	03 Die Rose, die Lilie	YES	https://musescore.com/score/4976849
Schumann, Robert	Dichterliebe, Op.48	04 Wenn ich in deine Augen seh’	YES	https://musescore.com/score/4978368
Schumann, Robert	Dichterliebe, Op.48	05 Ich will meine Seele tauchen	YES	https://musescore.com/score/4978373
Schumann, Robert	Dichterliebe, Op.48	06 Im Rhein, im heiligen Strome	YES	https://musescore.com/score/4978379
Schumann, Robert	Dichterliebe, Op.48	07 Ich grolle nicht	YES	https://musescore.com/score/4978382
Schumann, Robert	Dichterliebe, Op.48	08 Und wüssten’s die Blumen	YES	https://musescore.com/score/4978387
Schumann, Robert	Dichterliebe, Op.48	09 Das ist ein Flöten und Geigen	YES	https://musescore.com/score/4978390
Schumann, Robert	Dichterliebe, Op.48	10 Hör’ ich das Liedchen klingen	YES	https://musescore.com/score/5003150
Schumann, Robert	Dichterliebe, Op.48	11 Ein Jüngling liebt ein Mädchen	YES	https://musescore.com/score/4978393
Schumann, Robert	Dichterliebe, Op.48	12 Am leuchtenden Sommermorgen	YES	https://musescore.com/score/4978395
Schumann, Robert	Dichterliebe, Op.48	13 Ich hab’ im Traum geweinet	YES	https://musescore.com/score/4978396
Schumann, Robert	Dichterliebe, Op.48	14 Allnächtlich im Traume	YES	https://musescore.com/score/4978397
Schumann, Robert	Dichterliebe, Op.48	15 Aus alten Märchen winkt es	YES	https://musescore.com/score/4978398
Schumann, Robert	Dichterliebe, Op.48	16 Die alten, bösen Lieder	YES	https://musescore.com/score/4978400
Schumann, Robert	Frauenliebe und Leben, Op.42	1 Seit ich ihn gesehen	YES	https://musescore.com/score/4978468
Schumann, Robert	Frauenliebe und Leben, Op.42	3 Ich kann’s nicht fassen	YES	https://musescore.com/score/4978485
Wolf, Hugo	Eichendorff-Lieder	04 Das Ständchen	YES	https://musescore.com/score/5024834
Wolf, Hugo	Eichendorff-Lieder	08 Nachtzauber	YES	https://musescore.com/score/5039817
Wolf, Hugo	Eichendorff-Lieder	13 Der Scholar	YES	https://musescore.com/score/5052792
Wolf, Hugo	Eichendorff-Lieder	14 Der verzweifelte Liebhaber	YES	https://musescore.com/score/5052714
Wolf, Hugo	Eichendorff-Lieder	15 Unfall	YES	https://musescore.com/score/5057804
Wolf, Hugo	Eichendorff-Lieder	19 Die Nacht	YES	https://musescore.com/score/5052801
Wolf, Hugo	Eichendorff-Lieder	20 Waldmädchen	YES	https://musescore.com/score/5077482
