mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
13	13	0	0	2/4	4	1		V7/ii]		Bb	I		V7/ii	V		7		ii	]			Mm7	0	0	3, 7, 4, 1		3	3
14	14	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
15	15	0	0	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
15	15	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
16	16	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
17	17	0	0	2/4	4	1		ii65		Bb	I		ii65	ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
17	17	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
18	18	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
19	19	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
20	20	0	0	2/4	4	1		V[V7		Bb	I	V	V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
21	21	0	0	2/4	4	1		I]		Bb	I		I	I					]			M	0	0	0, 4, 1		0	0
21	21	3/8	3/8	2/4	4	1		viio/V		Bb	I		viio/V	vii	o			V				o	0	0	6, 3, 0		6	6
22	22	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
22	22	1/4	1/4	2/4	4	1		ii[V/V		Bb	I	ii	V/V	V				V				M	0	0	2, 6, 3		2	2
23	23	0	0	2/4	4	1		V]		Bb	I		V	V					]			M	0	0	1, 5, 2		1	1
23	23	1/4	1/4	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
24	24	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
24	24	1/4	1/4	2/4	4	1		ii6		Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
24	24	3/8	3/8	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
25	25	0	0	2/4	4	1		I[V7/IV		Bb	I	I	V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
26	26	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
27	27	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
28	28	1/8	1/8	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
29	29	0	0	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
30	30	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
31	31	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
32	32	1/8	1/8	2/4	4	1	1	I6]		Bb	I		I6	I		6			]			M	0	0	4, 1, 0		0	4
33	33	0	0	2/4	4	1	1	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
34	32	0	0	2/4	4	1	2	I]		Bb	I		I	I					]			M	0	0	0, 4, 1		0	0
35	33	0	0	2/4	4	1	2	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
36	34	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
37	35	0	0	2/4	4	1		viio/V		Bb	I		viio/V	vii	o			V				o	0	0	6, 3, 0		6	6
37	35	1/4	1/4	2/4	4	1		V64		Bb	I		V64	V		64						M	0	0	2, 1, 5		1	2
38	36	0	0	2/4	4	1		V+6/iii		Bb	I		V+6/iii	V	+	6		iii				+	0	0	9, 13, 5		5	9
38	36	1/8	1/8	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
40	38	0	0	2/4	4	1		V43/V		Bb	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
41	39	0	0	2/4	4	1		V[V64		Bb	I	V	V64	V		64						M	0	0	2, 1, 5		1	2
42	40	0	0	2/4	4	1		V43/V		Bb	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
43	41	0	0	2/4	4	1		V6]		Bb	I		V6	V		6			]			M	0	0	5, 2, 1		1	5
43	41	3/8	3/8	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
44	42	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
45	43	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
45	43	1/4	1/4	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
46	44	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
46	44	3/8	3/8	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
47	45	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
47	45	3/8	3/8	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
49	47	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
50	48	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
51	49	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
51	49	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
51	49	3/8	3/8	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
52	50	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
52	50	1/4	1/4	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
53	51	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
54	52	0	0	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
55	53	0	0	2/4	4	1		iii		Bb	I		iii	iii								m	0	0	4, 1, 5		4	4
56	54	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
57	55	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
57	55	1/8	1/8	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
57	55	7/16	7/16	2/4	4	1		V43/V		Bb	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
58	56	0	0	2/4	4	1		V	V.I	Bb	I		V	V								M	0	0	1, 5, 2		1	1
58	56	1/8	1/8	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
58	56	1/4	1/4	2/4	4	1		I64		Bb	I		I64	I		64						M	0	0	1, 0, 4		0	1
58	56	3/8	3/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
59	57	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
59	57	1/4	1/4	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
59	57	3/8	3/8	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
60	58	0	0	2/4	4	1		V[viio2/V		Bb	I	V	viio2/V	vii	o	2		V				o7	0	0	-3, 6, 3, 0		6	-3
60	58	1/8	1/8	2/4	4	1		V64]		Bb	I		V64	V		64			]			M	0	0	2, 1, 5		1	2
60	58	1/4	1/4	2/4	4	1		V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
60	58	3/8	3/8	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
61	59	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
62	60	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
63	61	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
64	62	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
65	63	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
65	63	1/4	1/4	2/4	4	1		viio6		Bb	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
66	64	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
66	64	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
67	65	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
69	67	0	0	2/4	4	1		@none		Bb	I		@none	@none								m	0	0				
70	68	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
71	69	0	0	2/4	4	1		viio6/V		Bb	I		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
71	69	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
72	70	1/8	1/8	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
73	71	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
74	72	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
74	72	1/8	1/8	2/4	4	1		V65/V		Bb	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
74	72	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
75	73	0	0	2/4	4	1		viio65/V		Bb	I		viio65/V	vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
75	73	3/8	3/8	2/4	4	1		i64		Bb	I		i64	i		64						m	0	0	1, 0, -3		0	1
76	74	0	0	2/4	4	1		viio65/V		Bb	I		viio65/V	vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
77	75	0	0	2/4	4	1		viio7/V		Bb	I		viio7/V	vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
78	76	0	0	2/4	4	1		viio7/V		Bb	I		viio7/V	vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
79	77	0	0	2/4	4	1		viio43		Bb	I		viio43	vii	o	43						o7	0	0	-1, -4, 5, 2		5	-1
80	78	0	0	2/4	4	1		viio43		Bb	I		viio43	vii	o	43						o7	0	0	-1, -4, 5, 2		5	-1
80	78	1/4	1/4	2/4	4	1		viio2		Bb	I		viio2	vii	o	2						o7	0	0	-4, 5, 2, -1		5	-4
81	79	0	0	2/4	4	1		V[I		Bb	I	V	I	I								M	0	0	0, 4, 1		0	0
82	80	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
83	81	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
84	82	0	0	2/4	4	1		viio65]		Bb	I		viio65	vii	o	65			]			o7	0	0	2, -1, -4, 5		5	2
85	83	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
85	83	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
86	84	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
86	84	1/4	1/4	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
87	85	0	0	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
87	85	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
87	85	3/8	3/8	2/4	4	1		V6/V		Bb	I		V6/V	V		6		V				M	0	0	6, 3, 2		2	6
88	86	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
89	87	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
90	88	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
91	89	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
92	90	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
93	91	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
94	92	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
95	93	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
96	94	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
97	95	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
98	96	0	0	2/4	4	1	1	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
98	96	3/8	3/8	2/4	4	1	1	V/ii		Bb	I		V/ii	V				ii				M	0	0	3, 7, 4		3	3
99	97	0	0	2/4	4	1	1	ii\\		Bb	I		ii	ii							\\	m	0	0	2, -1, 3		2	2
101	96	0	0	2/4	4	1	2	I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
102	97	0	0	2/4	4	1	2	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
103	98	0	0	2/4	4	1	2	viio6		Bb	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
106	101	0	0	2/4	4	1		vi6		Bb	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
107	102	0	0	2/4	4	1		#viio6/vi		Bb	I		#viio6/vi	#vii	o	6		vi				o	0	0	5, 2, 8		8	5
109	104	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
110	105	0	0	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
111	106	0	0	2/4	4	1		bVII.I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
112	107	0	0	2/4	4	1		V43		Bb	bVII		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
114	109	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
115	110	1/4	1/4	2/4	4	1		V2/IV		Bb	bVII		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
116	111	0	0	2/4	4	1		IV6		Bb	bVII		IV6	IV		6						M	0	0	3, 0, -1		-1	3
116	111	1/4	1/4	2/4	4	1		V65		Bb	bVII		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
117	112	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
117	112	1/4	1/4	2/4	4	1		#viio7/iii		Bb	bVII		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
118	113	0	0	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
119	114	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
119	114	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
120	115	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
120	115	1/4	1/4	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
121	116	0	0	2/4	4	1		V2		Bb	bVII		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
121	116	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
122	117	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
123	118	1/4	1/4	2/4	4	1		V2/IV		Bb	bVII		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
124	119	0	0	2/4	4	1		IV6		Bb	bVII		IV6	IV		6						M	0	0	3, 0, -1		-1	3
124	119	1/4	1/4	2/4	4	1		V65		Bb	bVII		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
125	120	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
125	120	1/4	1/4	2/4	4	1		#viio7/iii		Bb	bVII		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
126	121	0	0	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
127	122	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
127	122	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
128	123	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
128	123	1/4	1/4	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
129	124	0	0	2/4	4	1		V2		Bb	bVII		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
129	124	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
130	125	0	0	2/4	4	1		viio6/V		Bb	bVII		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
131	126	0	0	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
131	126	3/8	3/8	2/4	4	1		v		Bb	bVII		v	v								m	0	0	1, -2, 2		1	1
132	127	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
132	127	1/4	1/4	2/4	4	1		#viio6/iii		Bb	bVII		#viio6/iii	#vii	o	6		iii				o	0	0	6, 3, 9		9	6
133	128	0	0	2/4	4	1		iii		Bb	bVII		iii	iii								m	0	0	4, 1, 5		4	4
133	128	1/4	1/4	2/4	4	1		V/ii		Bb	bVII		V/ii	V				ii				M	0	0	3, 7, 4		3	3
134	129	0	0	2/4	4	1		V/V		Bb	bVII		V/V	V				V				M	0	0	2, 6, 3		2	2
134	129	1/4	1/4	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
135	130	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
135	130	1/4	1/4	2/4	4	1		IV(+#6)		Bb	bVII		IV(+#6)	IV			+#6					M	0	0	-1, 3, 0	9	-1	-1
136	131	0	0	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
136	131	1/4	1/4	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
137	132	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
139	134	0	0	2/4	4	1		V		Bb	bVII		V	V								M	0	0	1, 5, 2		1	1
140	135	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
140	135	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
142	137	0	0	2/4	4	1		ii		Bb	bVII		ii	ii								m	0	0	2, -1, 3		2	2
143	138	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
144	139	0	0	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
145	140	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
146	141	0	0	2/4	4	1		V2/IV		Bb	bVII		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
147	142	0	0	2/4	4	1		IV6		Bb	bVII		IV6	IV		6						M	0	0	3, 0, -1		-1	3
148	143	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
149	144	0	0	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
151	146	1/4	1/4	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
152	147	0	0	2/4	4	1		V2		Bb	bVII		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
152	147	1/4	1/4	2/4	4	1		I6		Bb	bVII		I6	I		6						M	0	0	4, 1, 0		0	4
153	148	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
154	149	0	0	2/4	4	1		V/IV		Bb	bVII		V/IV	V				IV				M	0	0	0, 4, 1		0	0
155	150	0	0	2/4	4	1		IV		Bb	bVII		IV	IV								M	0	0	-1, 3, 0		-1	-1
155	150	1/4	1/4	2/4	4	1		IV6		Bb	bVII		IV6	IV		6						M	0	0	3, 0, -1		-1	3
156	151	1/4	1/4	2/4	4	1		V65/V		Bb	bVII		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
157	152	0	0	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
160	155	1/4	1/4	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
161	156	0	0	2/4	4	1		V7		Bb	bVII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
163	158	0	0	2/4	4	1		I		Bb	bVII		I	I								M	0	0	0, 4, 1		0	0
163	158	1/4	1/4	2/4	4	1		vi		Bb	bVII		vi	vi								m	0	0	3, 0, 4		3	3
164	159	0	0	2/4	4	1		vi		Bb	bVII		vi	vi								m	0	0	3, 0, 4		3	3
164	159	1/4	1/4	2/4	4	1		ii		Bb	bVII		ii	ii								m	0	0	2, -1, 3		2	2
165	160	0	0	2/4	4	1		V/vi		Bb	bVII		V/vi	V				vi				M	0	0	4, 8, 5		4	4
166	161	0	0	2/4	4	1		V/vi		Bb	bVII		V/vi	V				vi				M	0	0	4, 8, 5		4	4
167	162	0	0	2/4	4	1		V65/vi		Bb	bVII		V65/vi	V		65		vi				Mm7	0	0	8, 5, 2, 4		4	8
168	163	0	0	2/4	4	1		V43/vi		Bb	bVII		V43/vi	V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
168	163	1/4	1/4	2/4	4	1		vi6		Bb	bVII		vi6	vi		6						m	0	0	0, 4, 3		3	0
169	164	0	0	2/4	4	1		iii[V65/vi		Bb	bVII	iii	V65/vi	V		65		vi				Mm7	0	0	8, 5, 2, 4		4	8
170	165	0	0	2/4	4	1		#viio/vi		Bb	bVII		#viio/vi	#vii	o			vi				o	0	0	8, 5, 2		8	8
170	165	1/8	1/8	2/4	4	1		vi]		Bb	bVII		vi	vi					]			m	0	0	3, 0, 4		3	3
170	165	1/4	1/4	2/4	4	1		vi64		Bb	bVII		vi64	vi		64						m	0	0	4, 3, 0		3	4
171	166	0	0	2/4	4	1		V7/vi		Bb	bVII		V7/vi	V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
172	167	1/4	1/4	2/4	4	1		vi		Bb	bVII		vi	vi								m	0	0	3, 0, 4		3	3
173	168	0	0	2/4	4	1		V.viio		Bb	V		viio	vii	o							o	0	0	5, 2, -1		5	5
174	169	3/8	3/8	2/4	4	1		I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
175	170	0	0	2/4	4	1		V65		Bb	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
176	171	0	0	2/4	4	1		I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
177	172	0	0	2/4	4	1		V43		Bb	V		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
178	173	0	0	2/4	4	1		I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
179	174	0	0	2/4	4	1		V65		Bb	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
180	175	0	0	2/4	4	1		I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
181	176	0	0	2/4	4	1		V43		Bb	V		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
182	177	0	0	2/4	4	1		I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
183	178	0	0	2/4	4	1		V65/IV		Bb	V		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
184	179	0	0	2/4	4	1		IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
185	180	0	0	2/4	4	1		V43/IV		Bb	V		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
186	181	0	0	2/4	4	1		V65/IV		Bb	V		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
186	181	1/4	1/4	2/4	4	1		IV6		Bb	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
186	181	3/8	3/8	2/4	4	1		viio6/V		Bb	V		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
187	182	0	0	2/4	4	1		V7/V		Bb	V		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
188	183	0	0	2/4	4	1		ii.i		Bb	ii		i	i								m	0	1	0, -3, 1		0	0
189	184	0	0	2/4	4	1		#viio2		Bb	ii		#viio2	#vii	o	2						o7	0	1	-4, 5, 2, -1		5	-4
189	184	1/4	1/4	2/4	4	1		V7		Bb	ii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
190	185	0	0	2/4	4	1		i		Bb	ii		i	i								m	0	1	0, -3, 1		0	0
191	186	0	0	2/4	4	1		viio7/V		Bb	ii		viio7/V	vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
