mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
171	171	0	0	3/4	2	1	viio7/V	F	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
173	173	0	0	3/4	2	1	V}	F	I		V		V						}	M	0	0	1, 5, 2		1	1
173	173	1/2	1/2	3/4	2	1	i	F	I		i		i							m	0	0	0, -3, 1		0	0
174	174	0	0	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
174	174	1/2	1/2	3/4	2	1	i	F	I		i		i							m	0	0	0, -3, 1		0	0
175	175	0	0	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
177	177	0	0	3/4	2	1	I{	F	I		I		I						{	M	0	0	0, 4, 1		0	0
178	178	0	0	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
179	179	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
179	179	1/4	1/4	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
179	179	1/2	1/2	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
180	180	0	0	3/4	2	1	I(97)	F	I		I(97)		I			97				M	0	0	0, 4, 1	2, 5	0	0
180	180	1/2	1/2	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
181	181	0	0	3/4	2	1	IV6	F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
182	182	0	0	3/4	2	1	V6	F	I		V6		V		6					M	0	0	5, 2, 1		1	5
182	182	1/2	1/2	3/4	2	1	V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
183	183	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
183	183	1/4	1/4	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
183	183	1/2	1/2	3/4	2	1	ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
184	184	0	0	3/4	2	1	V}	F	I		V		V						}	M	0	0	1, 5, 2		1	1
185	185	0	0	3/4	2	1	I{	F	I		I		I						{	M	0	0	0, 4, 1		0	0
186	186	0	0	3/4	2	1	V6	F	I		V6		V		6					M	0	0	5, 2, 1		1	5
186	186	1/2	1/2	3/4	2	1	V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
187	187	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
187	187	1/4	1/4	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
187	187	1/2	1/2	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
188	188	0	0	3/4	2	1	I(97)	F	I		I(97)		I			97				M	0	0	0, 4, 1	2, 5	0	0
188	188	1/2	1/2	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
189	189	0	0	3/4	2	1	IV6	F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
