mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
45	45	0	0	2/4	4	1		bIII6		D	I		bIII6		bIII		6					M	0	0	1, -2, -3		-3	1
45	45	1/4	1/4	2/4	4	1		V43/iv		D	I		V43/iv		V		43		iv			Mm7	0	0	1, -2, 0, 4		0	1
46	46	0	0	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
47	47	0	0	2/4	4	1		bII		D	I		bII		bII							M	0	0	-5, -1, -4		-5	-5
47	47	1/8	1/8	2/4	4	1		iv64		D	I		iv64		iv		64					m	0	0	0, -1, -4		-1	0
47	47	1/4	1/4	2/4	4	1		viio7		D	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
47	47	3/8	3/8	2/4	4	1		V7/bIII		D	I		V7/bIII		V		7		bIII			Mm7	0	0	-2, 2, -1, -4		-2	-2
48	48	0	0	2/4	4	1		bIII64		D	I		bIII64		bIII		64					M	0	0	-2, -3, 1		-3	-2
48	48	1/4	1/4	2/4	4	1		viio6(2)/V		D	I		viio6(2)/V		vii	o	6	2	V			o	0	0	3, 0, 1		6	3
48	48	3/8	3/8	2/4	4	1		viio6/V		D	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
49	49	0	0	2/4	4	1		V/bIII		D	I		V/bIII		V				bIII			M	0	0	-2, 2, -1		-2	-2
49	49	1/4	1/4	2/4	4	1		V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
50	50	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
50	50	1/8	1/8	2/4	4	1		bVI6		D	I		bVI6		bVI		6					M	0	0	0, -3, -4		-4	0
51	51	1/8	1/8	2/4	4	1		i		D	I		i		i							m	0	0	0, -3, 1		0	0
51	51	1/4	1/4	2/4	4	1		viio43/V		D	I		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
52	52	0	0	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
52	52	1/8	1/8	2/4	4	1		ii%65/iv		D	I		ii%65/iv		ii	%	65		iv			%7	0	0	-2, -5, -1, 1		1	-2
52	52	1/4	1/4	2/4	4	1		V(b9)/iv		D	I		V(b9)/iv		V			b9	iv			M	0	0	0, 4, 1	-12	0	0
52	52	3/8	3/8	2/4	4	1		V2/iv		D	I		V2/iv		V		2		iv			Mm7	0	0	-2, 0, 4, 1		0	-2
53	53	0	0	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
53	53	1/8	1/8	2/4	4	1		i64		D	I		i64		i		64					m	0	0	1, 0, -3		0	1
53	53	1/4	1/4	2/4	4	1		viio7		D	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
54	54	0	0	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
54	54	1/8	1/8	2/4	4	1		bvii64		D	I		bvii64		bvii		64					m	0	0	-1, -2, -5		-2	-1
54	54	1/4	1/4	2/4	4	1		iiio7		D	I		iiio7		iii	o	7					o7	0	0	4, 1, -2, -5		4	4
54	54	5/16	5/16	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
54	54	3/8	3/8	2/4	4	1		io6		D	I		io6		i	o	6					o	0	0	-3, -6, 0		0	-3
55	55	0	0	2/4	4	1		V2/bvii		D	I		V2/bvii		V		2		bvii			Mm7	0	0	-3, -1, 3, 0		-1	-3
55	55	1/8	1/8	2/4	4	1		bvii6		D	I		bvii6		bvii		6					m	0	0	-5, -1, -2		-2	-5
55	55	1/4	1/4	2/4	4	1		I(4)		D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
55	55	3/8	3/8	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
56	56	0	0	2/4	4	1		i		D	I		i		i							m	0	0	0, -3, 1		0	0
56	56	1/8	1/8	2/4	4	1		VII2/bvii		D	I		VII2/bvii		VII		2		bvii			Mm7	0	0	-6, -4, 0, -3		-4	-6
56	56	1/4	1/4	2/4	4	1		V7/bvii		D	I		V7/bvii		V		7		bvii			Mm7	0	0	-1, 3, 0, -3		-1	-1
57	57	0	0	2/4	4	1		bvii6		D	I		bvii6		bvii		6					m	0	0	-5, -1, -2		-2	-5
57	57	1/4	1/4	2/4	4	1		V7/bvii		D	I		V7/bvii		V		7		bvii			Mm7	0	0	-1, 3, 0, -3		-1	-1
58	58	0	0	2/4	4	1		bII2		D	I		bII2		bII		2					Mm7	0	0	-7, -5, -1, -4		-5	-7
58	58	1/4	1/4	2/4	4	1		iio2		D	I		iio2		ii	o	2					o7	0	0	-7, 2, -1, -4		2	-7
58	58	3/8	3/8	2/4	4	1		bVII		D	I		bVII		bVII							M	0	0	-2, 2, -1		-2	-2
59	59	0	0	2/4	4	1		iio43		D	I		iio43		ii	o	43					o7	0	0	-4, -7, 2, -1		2	-4
59	59	1/4	1/4	2/4	4	1		bV.V43		D	bV		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
59	59	3/8	3/8	2/4	4	1		I64		D	bV		I64		I		64					M	0	0	1, 0, 4		0	1
60	60	0	0	2/4	4	1		V[i		D	bV	V	i		i							m	0	0	0, -3, 1		0	0
60	60	3/8	3/8	2/4	4	1		V		D	bV	V	V		V							M	0	0	1, 5, 2		1	1
61	61	0	0	2/4	4	1		viio		D	bV	V	viio		vii	o						o	0	0	5, 2, -1		5	5
61	61	3/8	3/8	2/4	4	1		i		D	bV	V	i		i							m	0	0	0, -3, 1		0	0
62	62	0	0	2/4	4	1		#ivo7]		D	bV	V	#ivo7		#iv	o	7					o7	0	0	6, 3, 0, -3		6	6
62	62	3/8	3/8	2/4	4	1		viio2		D	bV		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
63	63	0	0	2/4	4	1		viio6		D	bV		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
63	63	1/4	1/4	2/4	4	1		V65		D	bV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
64	64	1/4	1/4	2/4	4	1		I\\		D	bV		I		I						\\	M	0	0	0, 4, 1		0	0
65	65	0	0	2/4	4	1		I		D	bV		I		I							M	0	0	0, 4, 1		0	0
66	66	0	0	2/4	4	1		vi		D	bV		vi		vi							m	0	0	3, 0, 4		3	3
66	66	1/4	1/4	2/4	4	1		vi2		D	bV		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
67	67	0	0	2/4	4	1		IV		D	bV		IV		IV							M	0	0	-1, 3, 0		-1	-1
67	67	1/4	1/4	2/4	4	1		#ivo2		D	bV		#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
68	68	0	0	2/4	4	1		V65/iii		D	bV		V65/iii		V		65		iii			Mm7	0	0	9, 6, 3, 5		5	9
68	68	1/4	1/4	2/4	4	1		iii		D	bV		iii		iii							m	0	0	4, 1, 5		4	4
69	69	0	0	2/4	4	1		bIV.I		D	bIV		I		I							M	0	0	0, 4, 1		0	0
70	70	0	0	2/4	4	1		vi		D	bIV		vi		vi							m	0	0	3, 0, 4		3	3
70	70	1/4	1/4	2/4	4	1		vi2		D	bIV		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
71	71	0	0	2/4	4	1		IV		D	bIV		IV		IV							M	0	0	-1, 3, 0		-1	-1
71	71	1/4	1/4	2/4	4	1		#ivo2		D	bIV		#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
72	72	0	0	2/4	4	1		V65/iii		D	bIV		V65/iii		V		65		iii			Mm7	0	0	9, 6, 3, 5		5	9
72	72	1/4	1/4	2/4	4	1		iii		D	bIV		iii		iii							m	0	0	4, 1, 5		4	4
73	73	0	0	2/4	4	1		bIII.I		D	bIII		I		I							M	0	0	0, 4, 1		0	0
74	74	0	0	2/4	4	1		vi		D	bIII		vi		vi							m	0	0	3, 0, 4		3	3
74	74	1/4	1/4	2/4	4	1		vi2		D	bIII		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
75	75	0	0	2/4	4	1		I.viio2		D	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
75	75	1/4	1/4	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
77	77	0	0	2/4	4	1		viio2		D	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
78	78	3/8	3/8	2/4	4	1		V		D	I		V		V							M	0	0	1, 5, 2		1	1
79	79	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
79	79	1/4	1/4	2/4	4	1		V6(4)		D	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
79	79	3/8	3/8	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
80	80	0	0	2/4	4	1		V2/iv		D	I		V2/iv		V		2		iv			Mm7	0	0	-2, 0, 4, 1		0	-2
80	80	3/16	3/16	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
80	80	1/4	1/4	2/4	4	1		V2/iv		D	I		V2/iv		V		2		iv			Mm7	0	0	-2, 0, 4, 1		0	-2
81	81	0	0	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
81	81	1/8	1/8	2/4	4	1		iv		D	I		iv		iv							m	0	0	-1, -4, 0		-1	-1
81	81	3/16	3/16	2/4	4	1		#viio43/iv		D	I		#viio43/iv		#vii	o	43		iv			o7	0	0	-2, -5, 4, 1		4	-2
81	81	1/4	1/4	2/4	4	1		iv6		D	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
81	81	3/8	3/8	2/4	4	1		iv64		D	I		iv64		iv		64					m	0	0	0, -1, -4		-1	0
81	81	7/16	7/16	2/4	4	1		ii2		D	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
82	82	0	0	2/4	4	1		V6(4)		D	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
82	82	1/16	1/16	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
82	82	1/4	1/4	2/4	4	1		V7/V		D	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
83	83	0	0	2/4	4	1		V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
83	83	3/8	3/8	2/4	4	1		viio43		D	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
84	84	1/4	1/4	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
84	84	3/8	3/8	2/4	4	1		bIII64		D	I		bIII64		bIII		64					M	0	0	-2, -3, 1		-3	-2
85	85	0	0	2/4	4	1		vii7/V		D	I		vii7/V		vii		7		V			mm7	0	0	6, 3, 7, 4		6	6
85	85	1/4	1/4	2/4	4	1		V64/V		D	I		V64/V		V		64		V			M	0	0	3, 2, 6		2	3
85	85	3/8	3/8	2/4	4	1		V64		D	I		V64		V		64					M	0	0	2, 1, 5		1	2
86	86	0	0	2/4	4	1		#io7		D	I		#io7		#i	o	7					o7	0	0	7, 4, 1, -2		7	7
86	86	1/4	1/4	2/4	4	1		#ivo43(4)		D	I		#ivo43(4)		#iv	o	43	4				o7	0	0	0, -3, 6, 5		6	0
86	86	3/8	3/8	2/4	4	1		#ivo43		D	I		#ivo43		#iv	o	43					o7	0	0	0, -3, 6, 3		6	0
87	87	0	0	2/4	4	1		vii7		D	I		vii7		vii		7					mm7	0	0	5, 2, 6, 3		5	5
87	87	1/8	1/8	2/4	4	1		v.i6		D	v		i6		i		6					m	0	1	-3, 1, 0		0	-3
87	87	3/8	3/8	2/4	4	1		V7		D	v		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
88	88	0	0	2/4	4	1		i		D	v		i		i							m	0	1	0, -3, 1		0	0
88	88	3/8	3/8	2/4	4	1		bIIM7		D	v		bIIM7		bII	M	7					MM7	0	1	-5, -1, -4, 0		-5	-5
89	89	0	0	2/4	4	1		ii%7		D	v		ii%7		ii	%	7					%7	0	1	2, -1, -4, 0		2	2
89	89	1/4	1/4	2/4	4	1		#viio6		D	v		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2
89	89	3/8	3/8	2/4	4	1		#viio43		D	v		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
90	90	0	0	2/4	4	1		I(4)		D	v		I(4)		I			4				M	0	1	0, -1, 1		0	0
90	90	1/8	1/8	2/4	4	1		I		D	v		I		I							M	0	1	0, 4, 1		0	0
90	90	3/8	3/8	2/4	4	1		I.V6/V		D	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
91	91	0	0	2/4	4	1		viio64/vi		D	I		viio64/vi		vii	o	64		vi			o	0	0	-5, 1, -2		1	-5
91	91	1/4	1/4	2/4	4	1		V2		D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
92	92	0	0	2/4	4	1		I6(2)		D	I		I6(2)		I		6	2				M	0	0	4, 1, 2		0	4
92	92	1/8	1/8	2/4	4	1		I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
92	92	3/8	3/8	2/4	4	1		bII2		D	I		bII2		bII		2					Mm7	0	0	-7, -5, -1, -4		-5	-7
93	93	0	0	2/4	4	1		bVII65		D	I		bVII65		bVII		65					Mm7	0	0	2, -1, -4, -2		-2	2
93	93	3/8	3/8	2/4	4	1		bVII43		D	I		bVII43		bVII		43					Mm7	0	0	-1, -4, -2, 2		-2	-1
94	94	0	0	2/4	4	1		I(4)		D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
94	94	1/8	1/8	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
94	94	1/4	1/4	2/4	4	1		I(b9)		D	I		I(b9)		I			b9				M	0	0	0, 4, 1	-5	0	0
94	94	3/8	3/8	2/4	4	1		V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
95	95	0	0	2/4	4	1		bIII64		D	I		bIII64		bIII		64					M	0	0	-2, -3, 1		-3	-2
95	95	1/4	1/4	2/4	4	1		V2/IV		D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
96	96	0	0	2/4	4	1		V65/bVII		D	I		V65/bVII		V		65		bVII			Mm7	0	0	3, 0, -3, -1		-1	3
97	97	3/8	3/8	2/4	4	1		bVII7		D	I		bVII7		bVII		7					Mm7	0	0	-2, 2, -1, -4		-2	-2
99	99	3/8	3/8	2/4	4	1		iiio7		D	I		iiio7		iii	o	7					o7	0	0	4, 1, -2, -5		4	4
101	101	3/8	3/8	2/4	4	1		vio65		D	I		vio65		vi	o	65					o7	0	0	0, -3, -6, 3		3	0
102	102	0	0	2/4	4	1		viio7/V		D	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
103	103	3/8	3/8	2/4	4	1		V[i6		D	I	V	i6		i		6					m	0	0	-3, 1, 0		0	-3
104	104	1/4	1/4	2/4	4	1		#ivo2		D	I	V	#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
105	105	0	0	2/4	4	1		ii64		D	I	V	ii64		ii		64					m	0	0	3, 2, -1		2	3
105	105	1/4	1/4	2/4	4	1		ivo2		D	I	V	ivo2		iv	o	2					o7	0	0	-10, -1, -4, -7		-1	-10
105	105	3/8	3/8	2/4	4	1		ivo65		D	I	V	ivo65		iv	o	65					o7	0	0	-4, -7, -10, -1		-1	-4
106	106	0	0	2/4	4	1		v%7(b2)		D	I	V	v%7(b2)		v	%	7	b2				%7	0	0	-4, -2, -5, -1		1	-4
106	106	1/4	1/4	2/4	4	1		v7]		D	I	V	v7		v		7					mm7	0	0	1, -2, 2, -1		1	1
106	106	3/8	3/8	2/4	4	1		I[V7/V		D	I	I	V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
107	107	0	0	2/4	4	1		IV43		D	I	I	IV43		IV		43					Mm7	0	0	0, -3, -1, 3		-1	0
107	107	1/8	1/8	2/4	4	1		#ivo		D	I	I	#ivo		#iv	o						o	0	0	6, 3, 0		6	6
107	107	1/4	1/4	2/4	4	1		viio43		D	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
110	110	0	0	2/4	4	1		viio6		D	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
110	110	3/8	3/8	2/4	4	1		viio43		D	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
111	111	0	0	2/4	4	1		viio6		D	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
111	111	3/8	3/8	2/4	4	1		viio43		D	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
112	112	0	0	2/4	4	1		I]		D	I	I	I		I							M	0	0	0, 4, 1		0	0
112	112	1/8	1/8	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
115	115	0	0	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
116	116	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
117	117	0	0	2/4	4	1		V7/iv		D	I		V7/iv		V		7		iv			Mm7	0	0	0, 4, 1, -2		0	0
118	118	0	0	2/4	4	1		iv		D	I		iv		iv							m	0	0	-1, -4, 0		-1	-1
118	118	3/8	3/8	2/4	4	1		ii/iv		D	I		ii/iv		ii				iv			m	0	0	1, -2, 2		1	1
119	119	0	0	2/4	4	1		iv		D	I		iv		iv							m	0	0	-1, -4, 0		-1	-1
119	119	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
120	120	1/4	1/4	2/4	4	1		vii6		D	I		vii6		vii		6					m	0	0	2, 6, 5		5	2
120	120	3/8	3/8	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
121	121	0	0	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
121	121	1/4	1/4	2/4	4	1		#io		D	I		#io		#i	o						o	0	0	7, 4, 1		7	7
121	121	3/8	3/8	2/4	4	1		V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
122	122	0	0	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
122	122	1/4	1/4	2/4	4	1		viio43/V		D	I		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
123	123	0	0	2/4	4	1		V(964)		D	I		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
123	123	1/4	1/4	2/4	4	1		V\\		D	I		V		V						\\	M	0	0	1, 5, 2		1	1
124	124	0	0	2/4	4	1		V7(b2)		D	I		V7(b2)		V		7	b2				Mm7	0	0	-4, 5, 2, -1		1	-4
124	124	1/4	1/4	2/4	4	1		V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
125	125	0	0	2/4	4	1		I64(b2)		D	I		I64(b2)		I		64	b2				M	0	0	1, -5, 4		0	1
125	125	1/4	1/4	2/4	4	1		I		D	I		I		I							M	0	0	0, 4, 1		0	0
