COMPOSER,COLLECTION,MOVEMENT,MEASURE (START),FIGURE(S),KEY,URL
"Wolf, Hugo",Eichendorff-Lieder,19 Die Nacht,8,bII,F# minor,"<a href=""https://musescore.com/score/5052801"">5052801</a>"
"Wolf, Hugo",Eichendorff-Lieder,19 Die Nacht,19,bII,F# minor,"<a href=""https://musescore.com/score/5052801"">5052801</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,23,bII,G major,"<a href=""https://musescore.com/score/5077482"">5077482</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,27,bII,G major,"<a href=""https://musescore.com/score/5077482"">5077482</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,31,bII,G major,"<a href=""https://musescore.com/score/5077482"">5077482</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,35,bII,G major,"<a href=""https://musescore.com/score/5077482"">5077482</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,39,bII,G major,"<a href=""https://musescore.com/score/5077482"">5077482</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,75,bII,B major,"<a href=""https://musescore.com/score/5077482"">5077482</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,79,bII,B major,"<a href=""https://musescore.com/score/5077482"">5077482</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,83,bII,B major,"<a href=""https://musescore.com/score/5077482"">5077482</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,87,bII,B major,"<a href=""https://musescore.com/score/5077482"">5077482</a>"
