mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
28	25	3/8	3/8	2/4	4	1		#viio6/iii		Eb	I		#viio6/iii		#vii	o	6		iii				o	0	0	6, 3, 9		9	6
29	26	0	0	2/4	4	1		iii		Eb	I		iii		iii								m	0	0	4, 1, 5		4	4
29	26	3/8	3/8	2/4	4	1		V43/vi		Eb	I		V43/vi		V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
30	27	0	0	2/4	4	1		vi.i		Eb	vi		i		i								m	0	1	0, -3, 1		0	0
30	27	1/4	1/4	2/4	4	1		IV6		Eb	vi		IV6		IV		6						M	0	1	3, 0, -1		-1	3
30	27	3/8	3/8	2/4	4	1		Ger6		Eb	vi		Ger6	Ger	vii	o	65	b3	V				Ger	0	1	-4, 0, -3, 6		6	-4
31	28	0	0	2/4	4	1		V\\		Eb	vi		V		V							\\	M	0	1	1, 5, 2		1	1
32	28	0	1/4	2/4	4	1		I.V2/vi		Eb	I		V2/vi		V		2		vi				Mm7	0	0	2, 4, 8, 5		4	2
33	29	0	0	2/4	4	1		V65/ii		Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
33	29	1/4	1/4	2/4	4	1		V2/V		Eb	I		V2/V		V		2		V				Mm7	0	0	0, 2, 6, 3		2	0
34	30	0	0	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
34	30	1/4	1/4	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
35	31	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	0, 4, 1, 10		10	0
35	31	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
37	33	0	0	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
37	33	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
37	33	3/8	3/8	2/4	4	1		vi6		Eb	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
38	34	0	0	2/4	4	1		V64		Eb	I		V64		V		64						M	0	0	2, 1, 5		1	2
38	34	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
38	34	3/8	3/8	2/4	4	1		vi		Eb	I		vi		vi								m	0	0	3, 0, 4		3	3
39	35	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
39	35	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
39	35	3/8	3/8	2/4	4	1		vi6		Eb	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
40	36	0	0	2/4	4	1		V43		Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
40	36	1/4	1/4	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
40	36	3/8	3/8	2/4	4	1		V2		Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
41	37	0	0	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
41	37	1/8	1/8	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
41	37	3/8	3/8	2/4	4	1		V2/IV		Eb	I		V2/IV		V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
42	38	0	0	2/4	4	1		IV6		Eb	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
42	38	1/8	1/8	2/4	4	1		V2/ii		Eb	I		V2/ii		V		2		ii				Mm7	0	0	1, 3, 7, 4		3	1
42	38	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
42	38	3/8	3/8	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
43	39	0	0	2/4	4	1		V43		Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
43	39	1/8	1/8	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
43	39	1/4	1/4	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
43	39	3/8	3/8	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
44	40	0	0	2/4	4	1		I\\		Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
45	40	0	1/4	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
46	41	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
47	42	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
48	43	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
49	44	0	0	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
51	46	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
52	47	0	0	2/4	4	1		ii6	iv6/vi	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
53	48	0	0	2/4	4	1		V/vi\\		Eb	I		V/vi		V				vi			\\	M	0	0	4, 8, 5		4	4
54	48	0	1/4	2/4	4	1		V.V/ii		Eb	V		V/ii		V				ii				M	0	0	3, 7, 4		3	3
55	49	0	0	2/4	4	1		iio64		Eb	V		iio64		ii	o	64						o	0	0	-4, 2, -1		2	-4
55	49	1/4	1/4	2/4	4	1		V7		Eb	V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
56	50	0	0	2/4	4	1		I		Eb	V		I		I								M	0	0	0, 4, 1		0	0
56	50	1/4	1/4	2/4	4	1		IV		Eb	V		IV		IV								M	0	0	-1, 3, 0		-1	-1
57	51	0	0	2/4	4	1		Ger6/vi		Eb	V		Ger6/vi	Ger	vii	o	65	b3	V/vi				Ger	0	0	-1, 3, 0, 9		9	-1
57	51	1/4	1/4	2/4	4	1		V/vi		Eb	V		V/vi		V				vi				M	0	0	4, 8, 5		4	4
58	52	0	0	2/4	4	1		V7/vi		Eb	V		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
59	53	0	0	2/4	4	1		I.V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
63	57	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
64	58	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
65	59	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
66	60	0	0	2/4	4	1		I\\		Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
67	60	0	1/4	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
68	61	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
69	62	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
70	63	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
71	64	0	0	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
72	65	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
72	65	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
73	66	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
74	67	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
74	67	1/4	1/4	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
74	67	3/8	3/8	2/4	4	1		ii6	iv6/vi	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
75	68	0	0	2/4	4	1		V/vi\\		Eb	I		V/vi		V				vi			\\	M	0	0	4, 8, 5		4	4
76	68	0	1/4	2/4	4	1		V7/vi		Eb	I		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
77	69	0	0	2/4	4	1		V2/ii		Eb	I		V2/ii		V		2		ii				Mm7	0	0	1, 3, 7, 4		3	1
77	69	1/4	1/4	2/4	4	1		V65/V		Eb	I		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
78	70	0	0	2/4	4	1		V2		Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
78	70	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
79	71	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	0, 4, 1, 10		10	0
79	71	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
82	74	0	0	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
85	77	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
86	78	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
87	79	0	0	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
88	80	0	0	2/4	4	1		I\\		Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
89	80	0	1/4	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
90	81	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
91	82	0	0	2/4	4	1		IV(4)		Eb	I		IV(4)		IV			4					M	0	0	-1, 5, 0		-1	-1
91	82	1/4	1/4	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
92	83	0	0	2/4	4	1		ii(4)		Eb	I		ii(4)		ii			4					m	0	0	2, 1, 3		2	2
92	83	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
93	84	0	0	2/4	4	1		V(6)		Eb	I		V(6)		V			6					M	0	0	1, 5, 4		1	1
93	84	1/4	1/4	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
94	85	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
95	86	0	0	2/4	4	1		I(4)		Eb	I		I(4)		I			4					M	0	0	0, -1, 1		0	0
96	87	0	0	2/4	4	1		vi.V7(4)/V		Eb	vi		V7(4)/V		V		7	4	V				Mm7	0	1	2, 1, 3, 0		2	2
96	87	1/4	1/4	2/4	4	1		V7/V		Eb	vi		V7/V		V		7		V				Mm7	0	1	2, 6, 3, 0		2	2
97	88	0	0	2/4	4	1		V\\		Eb	vi		V		V							\\	M	0	1	1, 5, 2		1	1
98	88	0	1/4	2/4	4	1		I.V/ii		Eb	I		V/ii		V				ii				M	0	0	3, 7, 4		3	3
99	89	0	0	2/4	4	1		vi[V7/ii		Eb	I	vi	V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
99	89	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
100	90	0	0	2/4	4	1		V7/vi		Eb	I		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
100	90	1/4	1/4	2/4	4	1		vi]		Eb	I		vi		vi					]			m	0	0	3, 0, 4		3	3
101	91	0	0	2/4	4	1		#V[V/vii		Eb	I	#V	V/vii		V				vii				M	0	0	6, 10, 7		6	6
101	91	1/4	1/4	2/4	4	1		vii		Eb	I		vii		vii								m	0	0	5, 2, 6		5	5
102	92	1/4	1/4	2/4	4	1		viio7]		Eb	I		viio7		vii	o	7			]			o7	0	0	5, 2, -1, -4		5	5
103	93	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
103	93	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
104	94	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
105	95	1/4	1/4	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
106	96	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
107	97	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
108	98	0	0	2/4	4	1		IV(4)		Eb	I		IV(4)		IV			4					M	0	0	-1, 5, 0		-1	-1
108	98	1/4	1/4	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
109	99	0	0	2/4	4	1		V43(2)		Eb	I		V43(2)		V		43	2					Mm7	0	0	2, -1, 3, 5		1	2
109	99	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
110	100	0	0	2/4	4	1		I\\		Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
111	100	0	1/4	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
112	101	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
112	101	1/4	1/4	2/4	4	1		vi		Eb	I		vi		vi								m	0	0	3, 0, 4		3	3
113	102	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
114	103	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
115	104	0	0	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
116	105	0	0	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
116	105	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
117	106	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
118	107	0	0	2/4	4	1		IV(7)		Eb	I		IV(7)		IV			7					M	0	0	-1, 3, 0	4	-1	-1
118	107	3/8	3/8	2/4	4	1		ii6	iv6/vi	Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
119	108	0	0	2/4	4	1		V/vi\\		Eb	I		V/vi		V				vi			\\	M	0	0	4, 8, 5		4	4
120	108	0	1/4	2/4	4	1		viio6/IV		Eb	I		viio6/IV		vii	o	6		IV				o	0	0	1, -2, 4		4	1
121	109	0	0	2/4	4	1		V7/ii		Eb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
121	109	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
122	110	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
122	110	1/4	1/4	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
123	111	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	0, 4, 1, 10		10	0
123	111	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
124	112	0	0	2/4	4	1		V/iii		Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
124	112	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
128	116	0	0	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
129	117	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
130	118	0	0	2/4	4	1		ii6		Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
130	118	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
131	119	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
132	120	0	0	2/4	4	1		I\\		Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
133	120	0	1/4	2/4	4	1		I[I		Eb	I	I	I		I								M	0	0	0, 4, 1		0	0
135	122	3/8	3/8	2/4	4	1		vii%7		Eb	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
136	123	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
136	123	1/8	1/8	2/4	4	1		vii%7		Eb	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
136	123	1/4	1/4	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
137	124	1/8	1/8	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
137	124	3/8	3/8	2/4	4	1		I64		Eb	I		I64		I		64						M	0	0	1, 0, 4		0	1
138	125	0	0	2/4	4	1		vi7		Eb	I		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
138	125	1/8	1/8	2/4	4	1		viio		Eb	I		viio		vii	o							o	0	0	5, 2, -1		5	5
138	125	1/4	1/4	2/4	4	1		viio6		Eb	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
138	125	3/8	3/8	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
139	126	1/8	1/8	2/4	4	1		viio64		Eb	I		viio64		vii	o	64						o	0	0	-1, 5, 2		5	-1
139	126	3/8	3/8	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
140	127	0	0	2/4	4	1		viio64		Eb	I		viio64		vii	o	64						o	0	0	-1, 5, 2		5	-1
140	127	1/8	1/8	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
140	127	3/8	3/8	2/4	4	1		viio6		Eb	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
141	128	0	0	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
141	128	1/8	1/8	2/4	4	1		viio6		Eb	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
141	128	1/4	1/4	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
141	128	3/8	3/8	2/4	4	1		I+6		Eb	I		I+6		I	+	6						+	0	0	4, 8, 0		0	4
142	129	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
142	129	1/8	1/8	2/4	4	1		viio		Eb	I		viio		vii	o							o	0	0	5, 2, -1		5	5
142	129	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
142	129	3/8	3/8	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
143	130	0	0	2/4	4	1		I]\\		Eb	I		I		I					]		\\	M	0	0	0, 4, 1		0	0
144	130	0	1/4	2/4	4	1		bVII.vi6(4)		Eb	bVII		vi6(4)		vi		6	4					m	0	0	2, 4, 3		3	2
144	130	1/8	3/8	2/4	4	1		vi6		Eb	bVII		vi6		vi		6						m	0	0	0, 4, 3		3	0
145	131	0	0	2/4	4	1		I[I64		Eb	bVII	I	I64		I		64						M	0	0	1, 0, 4		0	1
146	132	0	0	2/4	4	1		ii6		Eb	bVII		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
146	132	1/8	1/8	2/4	4	1		I6		Eb	bVII		I6		I		6						M	0	0	4, 1, 0		0	4
146	132	3/8	3/8	2/4	4	1		ii6		Eb	bVII		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
147	133	0	0	2/4	4	1		viio6		Eb	bVII		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
147	133	1/4	1/4	2/4	4	1		I6		Eb	bVII		I6		I		6						M	0	0	4, 1, 0		0	4
148	134	3/8	3/8	2/4	4	1		V		Eb	bVII		V		V								M	0	0	1, 5, 2		1	1
149	135	1/8	1/8	2/4	4	1		IV		Eb	bVII		IV		IV								M	0	0	-1, 3, 0		-1	-1
149	135	1/4	1/4	2/4	4	1		I6		Eb	bVII		I6		I		6						M	0	0	4, 1, 0		0	4
149	135	3/8	3/8	2/4	4	1		V		Eb	bVII		V		V								M	0	0	1, 5, 2		1	1
150	136	1/8	1/8	2/4	4	1		I		Eb	bVII		I		I								M	0	0	0, 4, 1		0	0
150	136	3/8	3/8	2/4	4	1		ii6		Eb	bVII		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
151	137	1/8	1/8	2/4	4	1		I6		Eb	bVII		I6		I		6						M	0	0	4, 1, 0		0	4
151	137	1/4	1/4	2/4	4	1		I		Eb	bVII		I		I								M	0	0	0, 4, 1		0	0
151	137	3/8	3/8	2/4	4	1		ii		Eb	bVII		ii		ii								m	0	0	2, -1, 3		2	2
152	138	0	0	2/4	4	1		I6]		Eb	bVII		I6		I		6			]			M	0	0	4, 1, 0		0	4
152	138	1/8	1/8	2/4	4	1		I.V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
152	138	1/4	1/4	2/4	4	1		I[I6		Eb	I	I	I6		I		6						M	0	0	4, 1, 0		0	4
152	138	3/8	3/8	2/4	4	1		vii%43		Eb	I		vii%43		vii	%	43						%7	0	0	-1, 3, 5, 2		5	-1
153	139	0	0	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
153	139	1/8	1/8	2/4	4	1		vii%43		Eb	I		vii%43		vii	%	43						%7	0	0	-1, 3, 5, 2		5	-1
153	139	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
