mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
11	11	1/2	1/2	3/4	4	1		I6	F	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	0	0	3/4	4	1		V64	F	bIII		V64	V		64					M	0	0	2, 1, 5		1	2
12	12	1/4	1/4	3/4	4	1		V43	F	bIII		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	12	1/2	1/2	3/4	4	1		V7	F	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	0	0	3/4	4	1		I(974)	F	bIII		I(974)	I			974				M	0	0	0, -1, 1	2, 5	0	0
13	13	1/4	1/4	3/4	4	1		I	F	bIII		I	I							M	0	0	0, 4, 1		0	0
14	14	0	0	3/4	4	1		vi	F	bIII		vi	vi							m	0	0	3, 0, 4		3	3
14	14	1/2	1/2	3/4	4	1		vi6	F	bIII		vi6	vi		6					m	0	0	0, 4, 3		3	0
15	15	0	0	3/4	4	1		V64/vi	F	bIII		V64/vi	V		64		vi			M	0	0	5, 4, 8		4	5
15	15	1/4	1/4	3/4	4	1		V43/vi	F	bIII		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
15	15	1/2	1/2	3/4	4	1		V7/vi	F	bIII		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
16	16	0	0	3/4	4	1		vi(#74)	F	bIII		vi(#74)	vi			#74				m	0	0	3, 2, 4	8	3	3
16	16	1/4	1/4	3/4	4	1		vi	F	bIII		vi	vi							m	0	0	3, 0, 4		3	3
17	17	0	0	3/4	4	1		bVI.I	F	bVI		I	I							M	0	0	0, 4, 1		0	0
18	18	0	0	3/4	4	1		V(64)	F	bVI		V(64)	V			64				M	0	0	1, 0, 4		1	1
18	18	1/4	1/4	3/4	4	1		V	F	bVI		V	V							M	0	0	1, 5, 2		1	1
18	18	1/2	1/2	3/4	4	1		#viio6/ii	F	bVI		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
19	19	0	0	3/4	4	1		ii	F	bVI		ii	ii							m	0	0	2, -1, 3		2	2
20	20	0	0	3/4	4	1		V(64)/ii	F	bVI		V(64)/ii	V			64	ii			M	0	0	3, 2, -1		3	3
20	20	1/4	1/4	3/4	4	1		V/ii	F	bVI		V/ii	V				ii			M	0	0	3, 7, 4		3	3
20	20	1/2	1/2	3/4	4	1		#viio6/iii	F	bVI		#viio6/iii	#vii	o	6		iii			o	0	0	6, 3, 9		9	6
21	21	0	0	3/4	4	1		i.i	F	i		i	i							m	0	1	0, -3, 1		0	0
22	22	0	0	3/4	4	1		V(64)	F	i		V(64)	V			64				M	0	1	1, 0, -3		1	1
22	22	1/4	1/4	3/4	4	1		V	F	i		V	V							M	0	1	1, 5, 2		1	1
22	22	1/2	1/2	3/4	4	1		i6	F	i		i6	i		6					m	0	1	-3, 1, 0		0	-3
23	23	0	0	3/4	4	1		#viio	F	i		#viio	#vii	o						o	0	1	5, 2, -1		5	5
24	24	0	0	3/4	4	1		i(4+2)	F	i		i(4+2)	i			4+2				m	0	1	0, -1, 1	2	0	0
24	24	1/4	1/4	3/4	4	1		VI	F	i		VI	VI							M	0	1	-4, 0, -3		-4	-4
24	24	1/2	1/2	3/4	4	1		viio7/V	F	i		viio7/V	vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
25	25	0	0	3/4	4	1		V[V	F	i	V	V	V							M	0	1	1, 5, 2		1	1
26	26	0	0	3/4	4	1		i	F	i	V	i	i							m	0	1	0, -3, 1		0	0
27	27	0	0	3/4	4	1		V	F	i	V	V	V							M	0	1	1, 5, 2		1	1
28	28	0	0	3/4	4	1		i	F	i	V	i	i							m	0	1	0, -3, 1		0	0
29	29	0	0	3/4	4	1		V]	F	i	V	V	V							M	0	1	1, 5, 2		1	1
30	30	0	0	3/4	4	1		V6	F	i		V6	V		6					M	0	1	5, 2, 1		1	5
30	30	1/2	1/2	3/4	4	1		ii	F	i		ii	ii							m	0	1	2, -1, 3		2	2
31	31	0	0	3/4	4	1		V	F	i		V	V							M	0	1	1, 5, 2		1	1
32	32	0	0	3/4	4	1		V43	F	i		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
32	32	1/2	1/2	3/4	4	1		ii	F	i		ii	ii							m	0	1	2, -1, 3		2	2
33	33	0	0	3/4	4	1		V	F	i		V	V							M	0	1	1, 5, 2		1	1
34	34	0	0	3/4	4	1		V43	F	i		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
34	34	1/2	1/2	3/4	4	1		vi	F	i		vi	vi							m	0	1	-4, -7, -3		-4	-4
35	35	0	0	3/4	4	1		V7	F	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
36	36	0	0	3/4	4	1		V7	F	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
36	36	1/4	1/4	3/4	4	1		V2	F	i		V2	V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
36	36	1/2	1/2	3/4	4	1		V43	F	i		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
37	37	0	0	3/4	4	1		I.I	F	I		I	I							M	0	0	0, 4, 1		0	0
37	37	1/4	1/4	3/4	4	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
37	37	1/2	1/2	3/4	4	1		viio7/V	F	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
38	38	0	0	3/4	4	1		V(4+2)	F	I		V(4+2)	V			4+2				M	0	0	1, 0, 2	3	1	1
38	38	1/4	1/4	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
38	38	1/2	1/2	3/4	4	1		V43/ii	F	I		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
39	39	0	0	3/4	4	1		V(4)/V	F	I		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
39	39	1/4	1/4	3/4	4	1		V6/V	F	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
39	39	1/2	1/2	3/4	4	1		#viio7/vi	F	I		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
40	40	0	0	3/4	4	1		V(4+2)/ii	F	I		V(4+2)/ii	V			4+2	ii			M	0	0	3, 2, 4	-2	3	3
40	40	1/4	1/4	3/4	4	1		V/ii	F	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
40	40	1/2	1/2	3/4	4	1		V43/iii	F	I		V43/iii	V		43		iii			Mm7	0	0	6, 3, 5, 9		5	6
41	41	0	0	3/4	4	1		iii(4)	F	I		iii(4)	iii			4				m	0	0	4, 3, 5		4	4
41	41	1/4	1/4	3/4	4	1		iii6	F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
41	41	1/2	1/2	3/4	4	1		V/iii	F	I		V/iii	V				iii			M	0	0	5, 9, 6		5	5
42	42	0	0	3/4	4	1		iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
43	43	0	0	3/4	4	1		vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
43	43	1/4	1/4	3/4	4	1		vi6	F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
43	43	1/2	1/2	3/4	4	1		V/vi	F	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
44	44	0	0	3/4	4	1		vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
45	45	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
45	45	1/4	1/4	3/4	4	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
45	45	1/2	1/2	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
46	46	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
47	47	0	0	3/4	4	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	48	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
49	49	0	0	3/4	4	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
50	50	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
51	51	1/4	1/4	3/4	4	1		viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
52	52	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
53	53	1/4	1/4	3/4	4	1		viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
54	54	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
55	55	0	0	3/4	4	1		viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
56	56	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
57	57	0	0	3/4	4	1		#viio65/ii	F	I		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
58	58	0	0	3/4	4	1		ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
59	59	0	0	3/4	4	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
60	60	0	0	3/4	4	1		I\\	F	I		I	I						\\	M	0	0	0, 4, 1		0	0
61	61	0	0	3/4	4	1		#viio65/ii	F	I		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
62	62	0	0	3/4	4	1		ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
63	63	0	0	3/4	4	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
64	64	0	0	3/4	4	1		I\\	F	I		I	I						\\	M	0	0	0, 4, 1		0	0
64	64	1/4	1/4	3/4	4	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
64	64	1/2	1/2	3/4	4	1		viio7/V	F	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
65	65	0	0	3/4	4	1		V(4)	F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
65	65	1/4	1/4	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
65	65	1/2	1/2	3/4	4	1		V43/ii	F	I		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
66	66	0	0	3/4	4	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
66	66	1/4	1/4	3/4	4	1		ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
66	66	1/2	1/2	3/4	4	1		V43/vi	F	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
67	67	0	0	3/4	4	1		vi(4+2)	F	I		vi(4+2)	vi			4+2				m	0	0	3, 2, 4	5	3	3
67	67	1/4	1/4	3/4	4	1		V/ii	F	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
67	67	1/2	1/2	3/4	4	1		V43/iii	F	I		V43/iii	V		43		iii			Mm7	0	0	6, 3, 5, 9		5	6
68	68	0	0	3/4	4	1		iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
68	68	1/4	1/4	3/4	4	1		V2/vi	F	I		V2/vi	V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
68	68	1/2	1/2	3/4	4	1		vi6	F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
69	69	0	0	3/4	4	1		V43/vi	F	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
69	69	1/4	1/4	3/4	4	1		vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
69	69	1/2	1/2	3/4	4	1		V65/vi	F	I		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
70	70	0	0	3/4	4	1		vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
70	70	1/4	1/4	3/4	4	1		#viio43/ii	F	I		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
70	70	1/2	1/2	3/4	4	1		ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
71	71	0	0	3/4	4	1		#viio65/ii	F	I		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
71	71	1/4	1/4	3/4	4	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
71	71	1/2	1/2	3/4	4	1		#viio7/ii	F	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
72	72	0	0	3/4	4	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
72	72	1/4	1/4	3/4	4	1		ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
72	72	1/2	1/2	3/4	4	1		vii%7/V	F	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
73	73	0	0	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
73	73	1/4	1/4	3/4	4	1		vii%7	F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
73	73	1/2	1/2	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
74	74	0	0	3/4	4	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
74	74	1/4	1/4	3/4	4	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
74	74	1/2	1/2	3/4	4	1		viio64	F	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
75	75	0	0	3/4	4	1		V(+2)	F	I		V(+2)	V			+2				M	0	0	1, 5, 2	3	1	1
75	75	1/4	1/4	3/4	4	1		@none	F	I		@none	@none							m	0	0				
75	75	1/2	1/2	3/4	4	1		vii%7	F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
76	76	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
76	76	1/4	1/4	3/4	4	1		V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
76	76	1/2	1/2	3/4	4	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
77	77	0	0	3/4	4	1		ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
77	77	1/4	1/4	3/4	4	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
77	77	1/2	1/2	3/4	4	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
78	78	0	0	3/4	4	1		I\\	F	I		I	I						\\	M	0	0	0, 4, 1		0	0
78	78	1/2	1/2	3/4	4	1		viio43/V	F	I		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
79	79	0	0	3/4	4	1		V6(b64)	F	I		V6(b64)	V		6	b64				M	0	0	0, -3, 1		1	0
79	79	1/4	1/4	3/4	4	1		V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
79	79	1/2	1/2	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
80	80	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
80	80	1/2	1/2	3/4	4	1		viio43/V	F	I		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
81	81	0	0	3/4	4	1		V6(b64)	F	I		V6(b64)	V		6	b64				M	0	0	0, -3, 1		1	0
81	81	1/4	1/4	3/4	4	1		V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
81	81	1/2	1/2	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
82	82	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
82	82	1/4	1/4	3/4	4	1		V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
82	82	1/2	1/2	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
83	83	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
83	83	1/4	1/4	3/4	4	1		V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
83	83	1/2	1/2	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
84	84	0	0	3/4	4	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
85	85	0	0	3/4	4	1		I\\	F	I		I	I						\\	M	0	0	0, 4, 1		0	0
86	86	0	0	3/4	4	1		i.V	F	i		V	V							M	0	1	1, 5, 2		1	1
90	90	0	0	3/4	4	1		bVI.I[I	F	bVI	I	I	I							M	0	0	0, 4, 1		0	0
91	91	0	0	3/4	4	1		I	F	bVI	I	I	I							M	0	0	0, 4, 1		0	0
93	93	1/2	1/2	3/4	4	1		V7	F	bVI	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
94	94	0	0	3/4	4	1		I	F	bVI	I	I	I							M	0	0	0, 4, 1		0	0
97	97	1/2	1/2	3/4	4	1		V7	F	bVI	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
98	98	0	0	3/4	4	1		I]	F	bVI	I	I	I							M	0	0	0, 4, 1		0	0
99	99	0	0	3/4	4	1		i.VI	F	i		VI	VI							M	0	1	-4, 0, -3		-4	-4
99	99	1/4	1/4	3/4	4	1		i64	F	i		i64	i		64					m	0	1	1, 0, -3		0	1
99	99	1/2	1/2	3/4	4	1		viio/V	F	i		viio/V	vii	o			V			o	0	1	6, 3, 0		6	6
100	100	0	0	3/4	4	1		V(b64)	F	i		V(b64)	V			b64				M	0	1	1, 0, -10		1	1
100	100	1/2	1/2	3/4	4	1		V	F	i		V	V							M	0	1	1, 5, 2		1	1
101	101	0	0	3/4	4	1		i\\	F	i		i	i						\\	m	0	1	0, -3, 1		0	0
102	102	0	0	3/4	4	1		V7/IV	F	i		V7/IV	V		7		IV			Mm7	0	1	0, 4, 1, -2		0	0
106	106	0	0	3/4	4	1		V/bVII	F	i		V/bVII	V				bVII			M	0	1	-8, -4, -7		-8	-8
110	110	0	0	3/4	4	1		viio65	F	i		viio65	vii	o	65					o7	0	1	-5, -8, -11, -2		-2	-5
111	111	0	0	3/4	4	1		V65	F	i		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
112	112	0	0	3/4	4	1		i(+2)	F	i		i(+2)	i			+2				m	0	1	0, -3, 1	2	0	0
113	113	0	0	3/4	4	1		i	F	i		i	i							m	0	1	0, -3, 1		0	0
114	114	0	0	3/4	4	1		V\\	F	i		V	V						\\	M	0	1	1, 5, 2		1	1
121	121	0	0	3/4	4	1		V/vi	F	i		V/vi	V				vi			M	0	1	-3, 1, -2		-3	-3
122	122	0	0	3/4	4	1		V(64)/ii	F	i		V(64)/ii	V			64	ii			M	0	1	3, 2, -1		3	3
125	125	1/2	1/2	3/4	4	1		V7/ii	F	i		V7/ii	V		7		ii			Mm7	0	1	3, 7, 4, 1		3	3
126	126	0	0	3/4	4	1		V(64)/ii	F	i		V(64)/ii	V			64	ii			M	0	1	3, 2, -1		3	3
129	129	1/2	1/2	3/4	4	1		V7/ii	F	i		V7/ii	V		7		ii			Mm7	0	1	3, 7, 4, 1		3	3
130	130	0	0	3/4	4	1		V7/V	F	i		V7/V	V		7		V			Mm7	0	1	2, 6, 3, 0		2	2
133	133	0	0	3/4	4	1		V/V	F	i		V/V	V				V			M	0	1	2, 6, 3		2	2
133	133	1/2	1/2	3/4	4	1		V(64)/V	F	i		V(64)/V	V			64	V			M	0	1	2, 1, 5		2	2
134	134	0	0	3/4	4	1		V7/V	F	i		V7/V	V		7		V			Mm7	0	1	2, 6, 3, 0		2	2
137	137	0	0	3/4	4	1		V/V	F	i		V/V	V				V			M	0	1	2, 6, 3		2	2
137	137	1/2	1/2	3/4	4	1		V	F	i		V	V							M	0	1	1, 5, 2		1	1
139	139	0	0	3/4	4	1		V7	F	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
141	141	0	0	3/4	4	1		V	F	i		V	V							M	0	1	1, 5, 2		1	1
141	141	1/2	1/2	3/4	4	1		V(64)	F	i		V(64)	V			64				M	0	1	1, 0, -3		1	1
142	142	0	0	3/4	4	1		V	F	i		V	V							M	0	1	1, 5, 2		1	1
143	143	0	0	3/4	4	1		V7	F	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
144	144	0	0	3/4	4	1		V	F	i		V	V							M	0	1	1, 5, 2		1	1
