COMPOSER,COLLECTION (where applicable),SONG,HUMAN ANALYSIS
"Holmès, Augusta Mary Anne",20 Mélodies,05 - C'est un oiseau du bois sauvage,N
"Holmès, Augusta Mary Anne",20 Mélodies,06 - Chanson persane,N
"Holmès, Augusta Mary Anne",20 Mélodies,07 - Noël d'Irlande,N
"Holmès, Augusta Mary Anne",20 Mélodies,08 - L'éternelle idole,N
"Holmès, Augusta Mary Anne",20 Mélodies,09 - Garci Perez,N
"Holmès, Augusta Mary Anne",20 Mélodies,10 - Hymne à Vénus,N
"Holmès, Augusta Mary Anne",Contes divins,4 - La Belle Madeleine,N
"Holmès, Augusta Mary Anne",Les Heures,2 - L'Heure d'Or,N
"Holmès, Augusta Mary Anne",Les Heures,3 - L'Heure de Pourpre,N
"Holmès, Augusta Mary Anne",Les Heures,4 - L'Heure d'Azur,YES
"Holmès, Augusta Mary Anne",Les Sept Ivresses,1 - L'Amour,N
"Holmès, Augusta Mary Anne",Les Sept Ivresses,2 - Le Vin,N
"Holmès, Augusta Mary Anne",Les Sept Ivresses,3 - La Gloire,N
"Holmès, Augusta Mary Anne",Les Sept Ivresses,4 - La Haine,N
"Holmès, Augusta Mary Anne",Les Sept Ivresses,5 - Le Rêve,N
"Holmès, Augusta Mary Anne",Les Sept Ivresses,6 - Le Désir,N
"Holmès, Augusta Mary Anne",Les Sept Ivresses,7 - L'Or,N
"Holmès, Augusta Mary Anne",Les Sérénades,1 - Sérénade printanière,N
"Holmès, Augusta Mary Anne",Les Sérénades,2 - Sérénade d'été,N
"Holmès, Augusta Mary Anne",Les Sérénades,3 - Sérénade d'automne,N
"Holmès, Augusta Mary Anne",Les Sérénades,4 - Sérénade d'hiver,N
"Holmès, Augusta Mary Anne",Les Sérénades,5 - Sérénade de toujours,N
"Holmès, Augusta Mary Anne",Mélodies pour piano et chant,01 - Noël,N
"Holmès, Augusta Mary Anne", ,Charme-du-jour,N
"Holmès, Augusta Mary Anne", ,Ogier le Danois,N
"Holmès, Augusta Mary Anne", ,À Trianon,N
"Jaëll, Marie",4 Mélodies,1 - À toi,N
"Jaëll, Marie",4 Mélodies,2 - Éternel amour,N
"Lang, Josephine","Sechs Lieder, Op.10",5 - Scheideblick,N
"Lang, Josephine","Sechs Lieder, Op.25",1 - Frühlings-Glaube,N
"Lang, Josephine","Sechs Lieder, Op.25",2 - Winterseufzer,N
"Lang, Josephine","Sechs Lieder, Op.25",3 - Barcarole,N
"Lang, Josephine","Sechs Lieder, Op.25",4 - Lied (Immer sich rein kindlich erfreu'n),YES
"Lang, Josephine","Sechs Lieder, Op.25",5 - Die Wolken,N
"Lang, Josephine","Sechs Lieder, Op.25",6 - Das Paradies,N
"Mahler, Gustav",Kindertotenlieder,1 - Nun will die Sonn' so hell aufgeh'n,N
"Mahler, Gustav",Kindertotenlieder,"2 - Nun seh' ich wohl, warum so dunkle Flammen",YES
"Mahler, Gustav",Kindertotenlieder,3 - Wenn dein Mütterlein,N
"Mahler, Gustav",Kindertotenlieder,"4 - Oft denk' ich, sie sind nur ausgegangen",YES
"Mahler, Gustav",Kindertotenlieder,5 - In diesem Wetter,N
"Mahler, Gustav",Lieder eines fahrenden Gesellen,1 - Wenn mein Schatz Hochzeit macht,N
"Mahler, Gustav",Lieder eines fahrenden Gesellen,2 - Gieng heut morgen übers Feld,N
"Mahler, Gustav",Lieder eines fahrenden Gesellen,3 - Ich hab' ein glühend Messer,N
"Mahler, Gustav",Lieder eines fahrenden Gesellen,4 - Die zwei blauen Augen von meinem Schatz,N
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",1 - Sehnsucht nach dem Vaterlande,N
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",2 - Frühlingslied,N
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",3a - Geistliches Lied,N
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",3b - Geistliches Lied (4-part),N
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",4 - Bergmannslied,N
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4",5 - Noch ein Bergmannslied,YES
"Reichardt, Louise","Sechs Lieder von Novalis, Op.4","6 - Er besucht den Klostergarten und den Kirchoff, über den letztern findet sich folgendes Gedicht",N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,01 - Frühlingslied,N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,02 - Wenn ich ihn nur habe,N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,03 - Durch die bunten Rosenhecken,N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,04 - Wohl dem Mann,N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,05 - Poesia di Metastasio (I),N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,06 - Notturno,N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,07 - Poesia di Metastasio (II),N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,08 - Poesie von Tieck,N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,09 - Aus Ariels Offenbarungen,N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,10 - Ida (aus Ariels Offenbarungen),YES
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,11 - Aus Tiecks Genoveva,N
"Reichardt, Louise",Zwölf Deutsche und Italiänische Romantische Gesänge,12 - Heymdal (aus Ariels Offenbarungen),N
"Reichardt, Louise",Zwölf Gesänge,01 - Erinnrung zum Bach,N
"Reichardt, Louise",Zwölf Gesänge,02 - Der Sänger geht,N
"Reichardt, Louise",Zwölf Gesänge,03 - Nach Sevilla,N
"Reichardt, Louise",Zwölf Gesänge,04 - Vaters Klage,N
"Reichardt, Louise",Zwölf Gesänge,05 - Für die Laute componirt,N
"Reichardt, Louise",Zwölf Gesänge,06 - Unruhiger Schlaf,N
"Reichardt, Louise",Zwölf Gesänge,07 - Volkslied,N
"Reichardt, Louise",Zwölf Gesänge,08 - Ein recht Gemüth,N
"Reichardt, Louise",Zwölf Gesänge,09 - Der Spinnerin Nachtlied,N
"Reichardt, Louise",Zwölf Gesänge,10 - Die Veilchen,N
"Reichardt, Louise",Zwölf Gesänge,11 - Daphne am Bach,N
"Reichardt, Louise",Zwölf Gesänge,12 - Aus Novalis Hymnen an die Nacht,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",01 - Frühlingsblumen,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",02 - Der traurige Wanderer,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",03 - Die Blume der Blumen,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",04 - Wachtelwacht,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",05 - Betteley der Vögel,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",06 - Kriegslied des Mays,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",07 - Die Wiese,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",08 - Kaeuzlein,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",09 - Hier liegt ein Spielmann begraben,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",10 - Der Mond,N
"Reichardt, Louise","Zwölf Gesänge, Op.3",11 - An Maria (aus Novalis geistlichen Liedern),N
"Reichardt, Louise","Zwölf Gesänge, Op.3",12 - Duettino,N
"Schubert, Franz","4 Gesänge aus 'Wilhelm Meister', D.877",1 - Mignon und der Harfner,N
"Schubert, Franz","4 Gesänge aus 'Wilhelm Meister', D.877",2 - Lied der Mignon (Heiss mich nicht reden),N
"Schubert, Franz","4 Gesänge aus 'Wilhelm Meister', D.877",3 - Lied der Mignon (So lasst mich scheinen),N
"Schubert, Franz","4 Gesänge aus 'Wilhelm Meister', D.877",4 - Lied der Mignon (Nur wer die Sehnsucht kennt),N
"Schubert, Franz","Die schöne Müllerin, D.795",01 - Das Wandern,N
"Schubert, Franz","Die schöne Müllerin, D.795",02 - Wohin,N
"Schubert, Franz","Die schöne Müllerin, D.795",03 - Halt!,N
"Schubert, Franz","Die schöne Müllerin, D.795",04 - Danksagung an den Bach,N
"Schubert, Franz","Die schöne Müllerin, D.795",05 - Am Feierabend,N
"Schubert, Franz","Die schöne Müllerin, D.795",06 - Der Neugierige,N
"Schubert, Franz","Die schöne Müllerin, D.795",07 - Ungeduld,N
"Schubert, Franz","Die schöne Müllerin, D.795",08 - Morgengruß,N
"Schubert, Franz","Die schöne Müllerin, D.795",09 - Des Müllers Blumen,N
"Schubert, Franz","Die schöne Müllerin, D.795",10 - Tränenregen,N
"Schubert, Franz","Die schöne Müllerin, D.795",11 - Mein!,N
"Schubert, Franz","Die schöne Müllerin, D.795",12 - Pause,N
"Schubert, Franz","Die schöne Müllerin, D.795",13 - Mit dem grünen Lautenbande,N
"Schubert, Franz","Die schöne Müllerin, D.795",14 - Der Jäger,N
"Schubert, Franz","Die schöne Müllerin, D.795",15 - Eifersucht und Stolz,N
"Schubert, Franz","Die schöne Müllerin, D.795",16 - Die liebe Farbe,N
"Schubert, Franz","Die schöne Müllerin, D.795",17 - Die böse Farbe,N
"Schubert, Franz","Die schöne Müllerin, D.795",18 - Trockne Blumen,N
"Schubert, Franz","Die schöne Müllerin, D.795",19 - Der Müller und der Bach,N
"Schubert, Franz","Die schöne Müllerin, D.795",20 - Des Baches Wiegenlied,N
"Schubert, Franz",Op.59,1 - Du liebst mich nicht,N
"Schubert, Franz",Op.59,2 - Dass sie hier gewesen,N
"Schubert, Franz",Op.59,3 - Du bist die Ruh,YES
"Schubert, Franz",Op.59,4 - Lachen und Weinen,N
"Schubert, Franz",Op.60,"1 - Greisengesang, D.778",N
"Schubert, Franz",Op.60,"2 - Dithyrambe, D.801",N
"Schubert, Franz","Schwanengesang, D.957",01 - Liebesbotschaft,YES
"Schubert, Franz","Schwanengesang, D.957",02 - Kriegers Ahnung,YES
"Schubert, Franz","Schwanengesang, D.957",03 - Frühlingssehnsucht,YES
"Schubert, Franz","Schwanengesang, D.957",04 - Ständchen,YES
"Schubert, Franz","Schwanengesang, D.957",05 - Aufenthalt,YES
"Schubert, Franz","Schwanengesang, D.957",06 - In der Ferne,YES
"Schubert, Franz","Schwanengesang, D.957",07 - Abschied,YES
"Schubert, Franz","Schwanengesang, D.957",08 - Der Atlas,YES
"Schubert, Franz","Schwanengesang, D.957",09 - Ihr Bild,YES
"Schubert, Franz","Schwanengesang, D.957",10 - Das Fischermädchen,YES
"Schubert, Franz","Schwanengesang, D.957",11 - Die Stadt,YES
"Schubert, Franz","Schwanengesang, D.957",12 - Am Meer,YES
"Schubert, Franz","Schwanengesang, D.957",13 - Der Doppelgänger,YES
"Schubert, Franz","Schwanengesang, D.957",14 - Die Taubenpost,YES
"Schubert, Franz","Winterreise, D.911",01 - Gute Nacht,YES
"Schubert, Franz","Winterreise, D.911",02 - Die Wetterfahne,YES
"Schubert, Franz","Winterreise, D.911",03 - Gefror'ne Thränen,YES
"Schubert, Franz","Winterreise, D.911",04 - Erstarrung,YES
"Schubert, Franz","Winterreise, D.911",05 - Der Lindenbaum,YES
"Schubert, Franz","Winterreise, D.911",06 - Wasserfluth,YES
"Schubert, Franz","Winterreise, D.911",07 - Auf dem Flusse,YES
"Schubert, Franz","Winterreise, D.911",08 - Rückblick,YES
"Schubert, Franz","Winterreise, D.911",09 - Irrlicht,YES
"Schubert, Franz","Winterreise, D.911",10 - Rast (Spätere Fassung),YES
"Schubert, Franz","Winterreise, D.911",11 - Frühlingstraum,YES
"Schubert, Franz","Winterreise, D.911",12 - Einsamkeit (Urspruengliche Fassung),YES
"Schubert, Franz","Winterreise, D.911",13 - Die Post,YES
"Schubert, Franz","Winterreise, D.911",14 - Der greise Kopf,YES
"Schubert, Franz","Winterreise, D.911",15 - Die Kraehe,YES
"Schubert, Franz","Winterreise, D.911",16 - Letzte Hoffnung,YES
"Schubert, Franz","Winterreise, D.911",17 - Im Dorfe,YES
"Schubert, Franz","Winterreise, D.911",18 - Der stuermische Morgen,YES
"Schubert, Franz","Winterreise, D.911",19 - Täuschung,YES
"Schubert, Franz","Winterreise, D.911",20 - Der Wegweiser,YES
"Schubert, Franz","Winterreise, D.911",21 - Das Wirthshaus,YES
"Schubert, Franz","Winterreise, D.911",22 - Muth,YES
"Schubert, Franz","Winterreise, D.911",23 - Die Nebensonnen,YES
"Schubert, Franz","Winterreise, D.911",24 - Der Leiermann (Spätere Fassung),YES
"Schubert, Franz", ,"Ständchen, D.889",N
"Schumann, Clara","6 Lieder, Op.13",1 - Ich stand in dunklen Träumen,YES
"Schumann, Clara","6 Lieder, Op.13",2 - Sie liebten sich beide,N
"Schumann, Clara","6 Lieder, Op.13",3 - Liebeszauber,YES
"Schumann, Clara","6 Lieder, Op.13",4 - Der Mond kommt still gegangen,N
